rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"The Royal Afghan at The Windsor","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066850-Reviews-The_Royal_Afghan_at_The_Windsor-Bengaluru_Bangalore_District_Karnataka.html","","","#13 of 10,125 Restaurants in Bengaluru","$100","Indian, Asian, Afghani, Vegetarian Friendly, Halal, Gluten Free Options","Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Special occasions, Local cuisine, Business meetings, Kids, Families with children, Romantic","Tuesday
7:00 pm - 11:30 pm","Address:
 No 25 Golf Course Road | Near Sankey Road, Bengaluru 560052, India","null","","","",""
"Citrus at the Leela Palace Bangalore","https://www.tripadvisor.com/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Bangalore_District_Karnataka.html","","","#23 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Large groups, Local cuisine, Kids, Families with children, Business meetings, Special occasions","Sunday
6:30 am - 12:30 am


Monday
6:30 am - 12:30 am


Tuesday
6:30 am - 12:30 am


Wednesday
6:30 am - 12:30 am


Thursday
6:30 am - 12:30 am


Friday
6:30 am - 12:30 am


Saturday
6:30 am - 12:30 am","Friday
6:30 am - 12:30 am","Address:
 23 Old Airport Road | Kodihalli, Old Airport Road, Bengaluru 560 008, India","+91 80 2521 1234","","","",""
"Edo - Japanese Restaurant and Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1942823-Reviews-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Bangalore_District_Karnataka.html","","","#8 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner","Outdoor Seating, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Bar scene, Families with children, Special occasions, Kids, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:00 pm


Monday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Tuesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Wednesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Thursday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Friday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Saturday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm","","Address:
 1 Residency Road | ITC Gardenia, Next to Vittal Mallya Hospital, Bengaluru 560025, India","+91 99018 88832","","Zarin I








Level  Contributor 


4 reviews 


3 restaurant reviews








“Great Sushi”



Reviewed 2 weeks ago




Edo is another great rest at the ITC Gardenia. The sushi is so fresh and lots of variety. Loved it!!




Helpful? 


Thank Zarin I 





Report 





GM_ITCGardenia, General Manager at Edo - Japanese Restaurant and Bar, responded to this review



Dear Guest,
I am elated to receive your fantastic review on this platform. Your comments regarding the food at Edo are truly appreciated. It has always been our endeavor to create unforgettable memories for valuable guests such as you. EDO brings alive the concept of Japan’s vibrant after-hours culture, with the most authentic dishes on offer. Thank you for your...



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1942823-Reviews-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"24x7 in Lalit Ashok","https://www.tripadvisor.com/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#60 of 10,125 Restaurants in Bengaluru","$8 -
$31","Indian, Pizza, International, Vegan Options, Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Serves Alcohol, Buffet, Valet Parking, Wheelchair Accessible, Full Bar","Large groups, Romantic, Kids, Business meetings, Special occasions, Scenic view, Families with children","","Address:
 Kumara Krupa High Grounds | Kumarakrupa Road, Bengaluru 560001, India","+91 80 3052 7777","","travelore1900



Bengaluru, India





Level  Contributor 


40 reviews 


25 restaurant reviews





25 helpful votes 







“The Best 5 Star in Bangalore”



Reviewed 4 weeks ago




Excellent is an understatement. The 24/7 Coffee Shop at Lalit is by far the best 5-star coffee shop in Bangalore. Over a hundred meals here and over and above the beautiful views, open-air seating, varied salad spreads and fresh foods, the staff here make all the difference. @Pranav who remembers all our preferences each and every time and has even...


More  






Helpful? 


Thank travelore1900 





Report 




travelore1900 has 2 more reviews of 24x7 in Lalit Ashok 


“The restaurant you can visit over and over...”


 

Reviewed September 26, 2015




“By the green grass under the open sky”


 

Reviewed August 7, 2016","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Zen","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066254-Reviews-Zen-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#59 of 10,125 Restaurants in Bengaluru","$20 -
$100","Chinese, Japanese, Sushi, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Full Bar, Buffet, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol","Business meetings, Special occasions, Large groups, Romantic, Families with children","","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 3057 1520","","Devesh A








Level  Contributor 


13 reviews 


6 restaurant reviews





2 helpful votes 







“The Sunday Dim Sum lunch is a pocket friendly winner”



Reviewed March 20, 2017




One will not associate pocket-friendly with The Leela Palace, Bangalore. A seven star ultra-luxurious property (which puts over 800 rose-buds in to a silver bowl at its entrance), their award winning pan-Asian restaurant is the Zen.
On Sundays they serve a Dim Sum lunch along with your choice of soup, 11 or 12 veg or non-veg dim-sums, a main course...


More  










 



 



 



 



 



 



 



 




See all photos


  


Helpful? 


Thank Devesh A 





Report","",""
"K & K","https://www.tripadvisor.com/Restaurant_Review-g297628-d2216191-Reviews-K_K-Bengaluru_Bangalore_District_Karnataka.html","","","#2 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Romantic, Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Monday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Tuesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Wednesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Thursday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Friday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Saturday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm","","Address:
 1 Residency Road | ITC Gardenia Hotel, Bengaluru 560001, India (Formerly Kebabs and Kurries)","+91 99160 75267","","Jyoti G








Level  Contributor 


11 reviews 


7 restaurant reviews





1 helpful vote 







“Those melt in mouth kebabs just wowww...”



Reviewed April 6, 2017




Was there for dinner, mouth melting kebabs are must try do tell them on the spice level as per your pellate. One of the best place for indian food. Ambience just uplifts the food taste.




Helpful? 


Thank Jyoti G 





Report 





GM_ITCGardenia, General Manager at K & K, responded to this review



Dear Guest,
Thank you for your amazing feedback!
I am glad to know that you had a fulfilling dining experience at our specialty restaurant K&K. Our ultimate endeavor is make our guests feel comfortable by serving the most authentic food and services and its great we succeeded in meeting your expectations of brand ITC. K&K presents a superlative menu with...



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d2216191-Reviews-K_K-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"My Place","https://www.tripadvisor.com/Restaurant_Review-g297628-d5238107-Reviews-My_Place-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#52 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Business meetings, Families with children, Kids, Special occasions, Romantic","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","Monday
12:00 am - 11:59 pm","Address:
 Movenpick Hotel & Spa Bangalore, No. 115, Gokula Extension, HMT Road, Near BEL Circle, New BEL Road, Bengaluru 560054, India","+91 80 4300 1000","","","",""
"Persian Terrace","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234007-Reviews-Persian_Terrace-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#44 of 10,125 Restaurants in Bengaluru","$20 -
$100","Middle Eastern, Persian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Validated Parking, Valet Parking, Serves Alcohol","Kids, Special occasions, Families with children, Business meetings, Scenic view, Romantic, Large groups","","Address:
 4th Floor 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","101","","",""
"Persian Terrace","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234007-Reviews-Persian_Terrace-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#44 of 10,125 Restaurants in Bengaluru","$20 -
$100","Middle Eastern, Persian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Validated Parking, Valet Parking, Serves Alcohol","Kids, Special occasions, Families with children, Business meetings, Scenic view, Romantic, Large groups","","Address:
 4th Floor 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","Krishna S









1 review 




1 helpful vote 







“Great Staff ”



Reviewed 1 week ago



via mobile




Great service and very good staff....Best for Holidays...i have been here and the service is great food is very delicious 👌👌




Helpful? 



1

Thank Krishna S 





Report","",""
"The Lantern","https://www.tripadvisor.com/Restaurant_Review-g297628-d6853097-Reviews-The_Lantern-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#58 of 10,125 Restaurants in Bengaluru","$19 -
$23","Chinese, Asian, Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Takeout, Parking Available, Valet Parking, Reservations, Private Dining, Seating, Waitstaff, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi","Kids, Families with children, Business meetings, Large groups, Romantic","","Address:
 Residency Road | The Ritz-Carlton, Bengaluru 560025, India","+91 80 4369 2788","","Ashutosh S








Level  Contributor 


38 reviews 


9 restaurant reviews





5 helpful votes 







“Excellent food, well served”



Reviewed 4 weeks ago




Verity of food served was excellent and it was served with lot of warmth by the staff. The breakfast, lunch and snacks were innovatively designed and served




Helpful? 


Thank Ashutosh S 





Report 





Raghu M, General Manager at The Lantern, responded to this review



Dear Ashutosh S
Thank-you for sharing your experience here on Trip Advisor. It is of immense value to the online fraternity, who look at this platform as a veritable source of genuine feedback from diners and travelers.
We are delighted that you enjoyed your meals with us and also enjoyed the variety
We all look forward to welcoming you back....



More","",""
"Nagarjuna","https://www.tripadvisor.com/Restaurant_Review-g297628-d1060248-Reviews-Nagarjuna-Bengaluru_Bangalore_District_Karnataka.html","","","#19 of 10,125 Restaurants in Bengaluru","$5 -
$10","Indian, Asian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available","Families with children, Dining on a budget, Kids, Large groups, Local cuisine","","Address:
 44/1, Near Mayo Hall, Residency Road | Shanthala Nagar, Bengaluru, India","null","","Myblo








Level  Contributor 


58 reviews 


19 restaurant reviews





4 helpful votes 







“Good and testy food”



Reviewed February 17, 2017



via mobile




Nice place. Ambience is good. Service is good too. Had biriyani and meals, was good definitely superb and great test.




Helpful? 


Thank Myblo 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1060248-Reviews-or10-Nagarjuna-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Smoke House Deli","https://www.tripadvisor.com/Restaurant_Review-g297628-d4086719-Reviews-Smoke_House_Deli-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#36 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Large groups, Kids, Families with children, Business meetings, Special occasions","Sunday
9:00 am - 11:00 pm


Monday
9:00 am - 11:00 pm


Tuesday
9:00 am - 11:00 pm


Wednesday
9:00 am - 11:00 pm


Thursday
9:00 am - 11:00 pm


Friday
9:00 am - 11:00 pm


Saturday
9:00 am - 11:00 pm","","Address:
 100 Feet Road, Opposite Titan Showroom | Indiranagar, Bengaluru 560038, India","+91 80 2520 0898","","AAGBLORE



Bengaluru, India





Level  Contributor 


71 reviews 


28 restaurant reviews





7 helpful votes 







“Good Food priced reasonable and good service”



Reviewed March 24, 2017




We are regular visitors to this restaurant as it close to our residence. We were accommodated on a busy Sunday evening, even though we did not have a reservation. Very good service and food was tasty.




Helpful? 


Thank AAGBLORE 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4086719-Reviews-or10-Smoke_House_Deli-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Absolute Barbecue","https://www.tripadvisor.com/Restaurant_Review-g297628-d5567563-Reviews-Absolute_Barbecue-Bengaluru_Bangalore_District_Karnataka.html","","","#12 of 10,125 Restaurants in Bengaluru","$10 -
$15","Indian, Barbecue, Asian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Highchairs Available","Kids, Families with children, Special occasions, Large groups","","Address:
 3rd Floor Near Park Plaza Hotel 90 4 Outer Ring Road | Marathalli outer ring road, Bengaluru 560037, India","+91 88800 99992","","arunengg



Bangalore





Level  Contributor 


42 reviews 


10 restaurant reviews





38 helpful votes 







“Good barbecue spread”



Reviewed 2 weeks ago



via mobile




We normally visit a famous barbecue restaurant for special occasions. Here we had been for the first time for my wife's birthday day.
The restaurant was fully packed and it is very noisy. The service wasn't so professional due to unpropotionate staff.
Food was good, counters are good & Mocktails were too good. Got a chance to taste duck &...


More  










 


  


Helpful? 


Thank arunengg 





Report 





Arup C, Guest Relations Manager at Absolute Barbecue, responded to this review



Hello Dear Guest
Thank you for reviewing us. We indeed look forward to have you with us soon.
Happy Barbecuing.
Regards
Team AB's



More","",""
